report_date,total_purchase_amt,total_redeem_amt
20130701,32488,4798
20130702,29037,1102
20130703,27270,3775
20130704,18321,3506
20130705,11648,-867
20130706,36751,-2740
20130707,8962,-1100
20130708,14944840,-1555697
20130709,-11470003,-2435497
20130710,2849310,-5074865
20130711,16781424,-3325840
20130712,7252967,3740682
20130713,-23363627,-1526935
20130714,20785619,-3983967
20130715,-4643985,1412226
20130716,17011233,2666845
20130717,-11900789,-640737
20130718,-4813268,-418477
20130719,12756082,-3322686
20130720,-12515118,-3686937
20130721,11445555,-5228550
20130722,-12103100,4016368
20130723,27830290,9374491
20130724,3842571,16011109
20130725,14232618,11391982
20130726,1159350,9685599
20130727,-18629625,-11118558
20130728,18704358,-11484201
20130729,-7343770,-6173913
20130730,2686275,-8259919
20130731,15552669,-12181208
20130801,5691341,-507468
20130802,-5465046,18493170
20130803,-8084906,410163
20130804,22885113,-9506090
20130805,-19364583,-9126233
20130806,6284799,-3760539
20130807,613904,7642024
20130808,57351,591546
20130809,-4140319,-4225344
20130810,-1269958,4782715
20130811,29614640,-4212180
20130812,28202253,59206
20130813,-25013168,1163974
20130814,-16918478,-17223378
20130815,735842,23643780
20130816,5533981,-9089233
20130817,-7701199,-23943397
20130818,30330558,929340
20130819,42621393,1003735
20130820,-29442362,2067448
20130821,-12238380,-847575
20130822,41139150,-14955627
20130823,-26347017,-9035140
20130824,18269521,-5097271
20130825,-12217458,1415413
20130826,7274556,-9746950
20130827,-14055262,32123502
20130828,6338407,-8905880
20130829,-3329007,-9190746
20130830,17385137,-20903743
20130831,13691465,656371
20130901,-2883564,36965255
20130902,57909469,-29684643
20130903,-12996789,-1953892
20130904,-29823166,-10276087
20130905,-20681685,-18680794
20130906,5341413,1087886
20130907,4862814,-4166894
20130908,-8166293,-14771116
20130909,-22508185,18039092
20130910,59454253,-8371643
20130911,32420109,33273719
20130912,-17710060,-11112752
20130913,15092111,9735708
20130914,-24877222,-6952186
20130915,-13463531,-18006641
20130916,74352518,3022143
20130917,-25666604,7992093
20130918,-12481121,-7868497
20130919,-34385827,-39707825
20130920,-2741309,-23411125
20130921,6797913,6990677
20130922,24873591,20663326
20130923,-38638983,11886313
20130924,24100865,-2338322
20130925,-11654162,17254591
20130926,20130902,-9733637
20130927,-14594605,-28289476
20130928,11539172,22332956
20130929,-14254364,-9783583
20130930,-64288810,-24734204
20131001,-8288210,-38902732
20131002,-7140192,-33787879
20131003,-5999252,-16825163
20131004,6936703,2222648
20131005,16499959,-10599004
20131006,1614540,-12521604
20131007,-33381683,-2702905
20131008,71180338,40358440
20131009,3081949,-23912527
20131010,10592363,10677942
20131011,25176493,-21777059
20131012,21846153,-6735942
20131013,-6667542,-6560195
20131014,34274584,-4884513
20131015,-13512666,-20173279
20131016,35755787,7105250
20131017,570537,-22703447
20131018,25304278,-21280506
20131019,-24917268,-2677022
20131020,-18239503,17826752
20131021,25849549,-5184578
20131022,47463108,38263925
20131023,7357920,1801879
20131024,-22248536,-5987475
20131025,-2102278,-5787832
20131026,-10044686,-5154506
20131027,4205602,-10216469
20131028,31773334,-3774651
20131029,-4972617,-28799804
20131030,26830617,7427379
20131031,-2816593,2375340
20131101,64790713,14442878
20131102,-45496107,-31401149
20131103,-303655,-18454570
20131104,189033773,80417449
20131105,-40850701,-11342510
20131106,42458133,46158070
20131107,16726907,-9712667
20131108,84159355,8992359
20131109,-43428978,-31545420
20131110,39883422,19656994
20131111,-44935153,134424814
20131112,4236923,-12456387
20131113,40153670,-55823081
20131114,28863956,-38913875
20131115,-34371061,-15968943
20131116,24529305,-26377724
20131117,-2546599,-12680158
20131118,7445634,46134783
20131119,-26278971,-28043625
20131120,39062676,2370885
20131121,82613114,4148361
20131122,-73101242,8373368
20131123,-1235469,-13982045
20131124,-7604403,18784052
20131125,-18724826,-50975261
20131126,128836899,-14261757
20131127,-71005596,8469934
20131128,12568087,-6990244
20131129,-27812231,53887522
20131130,26799068,44651879
20131201,20574710,-9280289
20131202,155300198,-4955902
20131203,24363646,-8461370
20131204,-9579083,-38007400
20131205,-22259164,43069692
20131206,-26359142,-21506991
20131207,17660828,-6412423
20131208,-15903467,-7308455
20131209,-14057546,15375314
20131210,1572671,42179245
20131211,85298896,-8610442
20131212,-65494460,-13176297
20131213,31521155,-11713226
20131214,756024,-29802227
20131215,73627367,-23182796
