report_date,total_purchase_amt,total_redeem_amt,x,p,r
20130701,32488348,5525022,1,0,0
20130702,29037390,2554548,2,-0.106221406,0.537640212
20130703,27270770,5953867,3,-0.06083949,1.330692945
20130704,18321185,6410729,4,-0.328175002,0.076733659
20130705,11648749,2763587,5,-0.364192382,0.56891221
20130706,36751272,1616635,6,2.154954408,0.415022939
20130707,8962232,3982735,7,-0.756138182,1.463595679
20130708,57258266,8347729,1,5.388839968,1.095979019
20130709,26798941,3473059,2,-0.531963804,0.583951635
20130710,30696506,2597169,3,0.145437277,0.252195543
20130711,44075197,3508800,4,0.435837584,0.351009503
20130712,34183904,8492573,5,-0.224418577,1.420363942
20130713,15164717,3482829,6,-0.556378435,0.589897078
20130714,22615303,2784107,7,0.491310586,0.200619094
20130715,48128555,13107943,1,1.128141064,3.708131907
20130716,50622847,11864981,2,0.051825616,0.0948251
20130717,29015682,10911513,3,-0.42682635,0.080359842
20130718,24234505,11765356,4,-0.164779067,0.078251568
20130719,33680124,9244769,5,0.389759106,0.214238056
20130720,20439079,4601143,6,-0.393141219,0.502297678
20130721,21142394,2681331,7,0.034410308,0.417246758
20130722,40448896,19144267,1,0.913165368,6.139837267
20130723,58136147,24404051,2,0.437274011,0.274744601
20130724,48422518,36258592,3,-0.167084155,0.485761196
20130725,57433418,38212836,4,0.186089042,0.053897405
20130726,44721817,39192369,5,-0.221327608,0.025633612
20130727,17194451,15058893,6,-0.61552432,0.615769769
20130728,36255382,7683211,7,1.108551299,0.489789123
20130729,53512076,18599364,1,0.475976063,1.420780062
20130730,47481243,13048582,2,-0.112700412,0.298439344
20130731,54569637,9534040,3,0.149288299,0.26934283
20130801,53369962,18864468,4,-0.021984295,0.978643681
20130802,38064536,40150769,5,-0.286779781,1.128380668
20130803,21595789,20701797,6,-0.432653297,0.484398493
20130804,45745254,8263965,7,1.118248794,0.600809292
20130805,43632203,15797507,1,-0.046191699,0.911613493
20130806,50866184,16401387,2,0.165794539,0.038226285
20130807,43908081,29708706,3,-0.136792314,0.811353272
20130808,44493490,29551691,4,0.013332603,0.005285151
20130809,33425186,30131015,5,-0.248762325,0.019603751
20130810,20615307,26614408,6,-0.383240321,0.116710539
20130811,55519543,15372680,7,1.6931223,0.422392563
20130812,94520502,28586669,1,0.702472623,0.859576144
20130813,48720919,28790328,2,-0.484546548,0.007124265
20130814,30541167,15031683,3,-0.373140581,0.477891221
20130815,42421222,52659327,4,0.388984972,2.503222294
20130816,41683536,33739844,5,-0.017389551,0.35928076
20130817,17670519,4674983,6,-0.576079174,0.86144029
20130818,59703092,15218300,7,2.378683558,2.255263174
20130819,109184209,28339260,1,0.828786506,0.86218303
20130820,53675509,30131225,2,-0.508394946,0.063232597
20130821,38184446,29983342,3,-0.288605796,0.004907965
20130822,89130737,25000672,4,1.334215796,0.166181275
20130823,37878575,25680323,5,-0.575022307,0.027185309
20130824,44367268,14316598,6,0.171302458,0.44250709
20130825,43306288,18117808,7,-0.023913575,0.265510703
20130826,74496541,20637986,1,0.720224578,0.139099498
20130827,45268028,60137633,2,-0.39234725,1.913929344
20130828,46602319,33696861,3,0.029475351,0.439670979
20130829,47518666,35944968,4,0.01966312,0.066715621
20130830,56488844,20630752,5,0.188771671,0.426046171
20130831,47655303,22012016,6,-0.156376735,0.066951704
20130901,56239802,59339949,7,0.180137329,1.695798013
20130902,140844739,17785524,1,1.504360506,0.700277397
20130903,80507880,39328144,2,-0.428392707,1.211244605
20130904,33366708,27452600,3,-0.585547303,0.301960448
20130905,38716505,21800904,4,0.160333378,0.205871065
20130906,38923186,33417903,5,0.005338318,0.532867765
20130907,34076183,20344424,6,-0.124527396,0.39121183
20130908,38796909,14919122,7,0.138534471,0.266672677
20130909,49312473,45621186,1,0.271041283,2.05790019
20130910,94684143,37128363,2,0.920085067,0.186159628
20130911,98944459,71674082,3,0.044995032,0.930440133
20130912,68573684,45147220,4,-0.306947709,0.370103966
20130913,71655946,60512675,5,0.044948176,0.340341111
20130914,30975443,36312660,6,-0.567719851,0.399916464
20130915,37059683,25020715,7,0.196421404,0.310964413
20130916,161656210,45184589,1,3.362050533,0.805887202
20130917,76204815,58260798,2,-0.52859952,0.289395329
20130918,42926608,47203221,3,-0.436694282,0.189794465
20130919,24778048,11418512,4,-0.422781134,0.758098881
20130920,28365762,15188254,5,0.144794053,0.330143017
20130921,32406340,26596179,6,0.1424456,0.751101805
20130922,67514169,47962055,7,1.083362978,0.803343819
20130923,54658160,58285879,1,-0.190419421,0.215249826
20130924,74250859,56680792,2,0.35845881,0.02753818
20130925,47274168,74838162,3,-0.363318234,0.320344324
20130926,68718693,48467529,4,0.453620358,0.352368795
20130927,42166121,27639603,5,-0.386395184,0.429729479
20130928,39995798,58105720,6,-0.051470777,1.102263191
20130929,34433848,40295202,7,-0.139063359,0.306519186
20130930,28398050,30181353,1,-0.17528677,0.250993878
20131001,19137499,12813267,2,-0.32609813,0.575457502
20131002,11562708,7233874,3,-0.395808825,0.435438753
20131003,10101194,6223263,4,-0.126398937,0.139705364
20131004,19907689,23412350,5,0.97082533,2.762069834
20131005,26364686,13966453,6,0.324346889,0.403457876
20131006,38730653,13464528,7,0.469035247,0.035937901
20131007,42797733,28894400,1,0.105009332,1.145964567
20131008,109806912,77856096,2,1.565717955,1.694504679
20131009,72422299,33999376,3,-0.340457739,0.563304895
20131010,72094613,52244531,4,-0.004524656,0.536632055
20131011,82674757,27666473,5,0.1467536,0.470442696
20131012,81901136,31322983,6,-0.009357403,0.132163937
20131013,71149981,31850475,7,-0.131269913,0.016840414
20131014,130315300,40652625,1,0.831557762,0.276358516
20131015,85704304,35099198,2,-0.342331223,0.136606849
20131016,100948091,51261982,3,0.177864895,0.460488698
20131017,87203217,23274764,4,-0.13615784,0.545964415
20131018,98151450,15938355,5,0.125548499,0.315208739
20131019,53148443,26684697,6,-0.458505779,0.674244111
20131020,47766681,50884342,7,-0.101259072,0.906873516
20131021,106030290,45781403,1,1.219754184,0.100285054
20131022,145611496,96172537,2,0.373300931,1.100690033
20131023,106093112,73788462,3,-0.271396044,0.232749137
20131024,69530830,58183921,4,-0.344624465,0.211476708
20131025,69936453,52225802,5,0.005833714,0.102401469
20131026,55752506,49357211,6,-0.20281193,0.054926701
20131027,68007543,46520570,7,0.219811411,0.057471663
20131028,129993375,55089464,1,0.911455248,0.184195808
20131029,102050144,43052468,2,-0.214958885,0.218499058
20131030,109663260,63908701,3,0.074601717,0.48443757
20131031,90926701,55607833,4,-0.170855389,0.129886351
20131101,150904945,66933119,5,0.659632906,0.203663502
20131102,62132300,26705506,6,-0.588268628,0.601012079
20131103,68707870,30895754,7,0.105831749,0.156905771
20131104,300027403,130970051,1,3.366710873,3.239095476
20131105,180904814,82689864,2,-0.39703903,0.368635323
20131106,181474910,131707820,3,0.003151359,0.5927928
20131107,167963464,83306452,4,-0.074453521,0.367490465
20131108,231749471,92856307,5,0.379761202,0.114635239
20131109,126467028,45885771,6,-0.454294211,0.505841095
20131110,164813471,85293644,7,0.303212969,0.858825561
20131111,147986439,227124951,1,-0.102097431,1.66285904
20131112,148469647,131263524,2,0.003265218,0.422064712
20131113,174554976,79121440,3,0.175694693,0.39723209
20131114,167996058,52554150,4,-0.037575085,0.335778646
20131115,124270704,58210254,5,-0.260276071,0.107624307
20131116,118085705,28996272,6,-0.049770371,0.501870031
20131117,111786622,42358155,7,-0.053343315,0.460813825
20131118,195766477,136916782,1,0.751251389,2.232359436
20131119,131365419,70308235,2,-0.328968774,0.486489282
20131120,166163002,86951218,3,0.264891501,0.236714561
20131121,221166938,74733962,4,0.331023966,0.140507014
20131122,128528687,82717921,5,-0.418861209,0.106831737
20131123,89109018,48882131,6,-0.306699383,0.409050295
20131124,102394991,85555947,7,0.149097962,0.750249943
20131125,147143602,70113127,1,0.437019532,0.180499668
20131126,258037702,65802983,2,0.753645408,0.061474137
20131127,134774128,86129498,3,-0.477695984,0.308899598
20131128,139760425,61453591,4,0.036997435,0.286497746
20131129,122536344,123982166,5,-0.123240045,1.017492615
20131130,116865492,119660311,6,-0.046278939,0.034858683
20131201,137889992,94632233,7,0.179903406,0.209159393
20131202,345313258,128465086,1,1.504266285,0.357519335
20131203,268666856,101662045,2,-0.221961944,0.208640665
20131204,219456372,69981329,3,-0.183165444,0.311627766
20131205,190825287,118256819,4,-0.130463676,0.689833856
20131206,152197159,82625571,5,-0.202426673,0.301303961
20131207,138882605,71916047,6,-0.087482277,0.129615128
20131208,124886903,76314292,7,-0.100773614,0.061158047
20131209,174652812,133355299,1,0.398487814,0.747448551
20131210,179471612,147147341,2,0.027590738,0.103423277
20131211,239916977,110314592,3,0.336796245,0.250312026
20131212,140360007,92090275,4,-0.414964257,0.16520314
20131213,164672690,90778214,5,0.173216599,0.014247552
20131214,129045596,52234651,6,-0.216350957,0.424590453
20131215,205882387,54757146,7,0.595423582,0.048291602
20131216,196489931,156157326,1,-0.045620493,1.851816382
20131217,193980797,116537843,2,-0.012769784,0.253715173
20131218,180215804,202220872,3,-0.070960596,0.735237815
20131219,233631357,164023344,4,0.296397718,0.188890136
20131220,133867400,153678963,5,-0.427014414,0.063066517
20131221,112000779,83151594,6,-0.163345378,0.458926633
20131222,154543217,83998249,7,0.379840555,0.010182066
20131223,198747367,138478245,1,0.286030994,0.648584901
20131224,305406334,118607911,2,0.536656,0.143490654
20131225,380076148,172755480,3,0.244493338,0.456525779
20131226,220287409,241852564,4,-0.420412435,0.399970432
20131227,211118967,163522548,5,-0.041620363,0.32387507
20131228,192808006,61383220,6,-0.086732904,0.62461923
20131229,161473347,55129989,7,-0.162517416,0.101871994
20131230,286358778,179826624,1,0.773412042,2.26186577
20131231,265851934,134232530,2,-0.071612416,0.253544737
20140101,330926565,77367755,3,0.244777723,0.42362887
20140102,434956739,190155450,4,0.314360299,1.45781269
20140103,342074805,127714255,5,-0.213542924,0.328369211
20140104,186085910,99869074,6,-0.456008138,0.218027197
20140105,206030707,156781996,7,0.107180587,0.569875335
20140106,442494042,190917629,1,1.147709186,0.217726741
20140107,589726496,137972793,2,0.33273319,0.277317691
20140108,264025160,213880074,3,-0.552292187,0.550161226
20140109,280698487,140391237,4,0.063150523,0.343598334
20140110,237797636,117259153,5,-0.152836061,0.164768717
20140111,243403438,71530182,6,0.023573834,0.389982102
20140112,228255344,141505812,7,-0.062234511,0.978267188
20140113,447207050,178923772,1,0.959240218,0.264427019
20140114,356907128,159778389,2,-0.201919719,0.107003015
20140115,391408718,177618247,3,0.096668257,0.111653761
20140116,374947083,153167426,4,-0.042057405,0.137659398
20140117,345426853,127385210,5,-0.078731723,0.168327018
20140118,233200688,142869842,6,-0.324891259,0.121557534
20140119,185082022,117629351,7,-0.206340155,0.176667732
20140120,335761027,442996084,1,0.814120158,2.766033564
20140121,412854611,302825136,2,0.229608495,0.316415772
20140122,498730606,292856188,3,0.208005416,0.032919817
20140123,481450097,209024328,4,-0.034648984,0.286256065
20140124,614103894,345829001,5,0.275529692,0.654491629
20140125,440854623,185524856,6,-0.2821172,0.463535865
20140126,528402520,331752519,7,0.198586773,0.788183676
20140127,657199484,280645861,1,0.243747823,0.15405055
20140128,843424742,248334316,2,0.283361845,0.115132804
20140129,952479658,215164666,3,0.129300115,0.133568532
20140130,227916211,105288105,4,-0.760712778,0.510662661
20140131,87324175,48132389,5,-0.61685843,0.542850648
20140201,64287172,61527060,6,-0.263810142,0.278288098
20140202,57912761,24395720,7,-0.099155256,0.603496088
20140203,84329848,46109194,1,0.456153127,0.890052599
20140204,83653646,44927333,2,-0.008018537,0.025631786
20140205,209043990,95407704,3,1.498922641,1.123600437
20140206,227860276,111635336,4,0.090011131,0.170087229
20140207,578818221,273482213,5,1.540233125,1.449781788
20140208,358255468,183432237,6,-0.381057031,0.329271783
20140209,341911234,262954049,7,-0.045621729,0.433521464
20140210,647465140,431753411,1,0.893664424,0.641934827
20140211,818803205,243058162,2,0.264629019,0.437044026
20140212,763009770,354585919,3,-0.068140225,0.458852137
